,Ao Tawhiti Unlimited Discovery,New Zealand,Yes,90,McMahon Drive,,Halswell,8025,http://aotawhiti.school.nz,discovery@aotawhiti.school.nz,006433654678,https://www.facebook.com/aotawhiti,https://twitter.com/aotawhiti,,1993,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/90+McMahon+Dr/@-43.5596645,172.5689538,17z/data=!3m1!4b1!4m2!3m1!1s0x6d32201b39f531fd:0x839f2605ce9ba988",
,Freyberg Community School,New Zealand,Yes,60,Roberts Road,,"Te Atatu South, Auckland",0610,http://www.freyberg.school.nz,admin@freyberg.school.nz,006498389664,https://www.facebook.com/pages/Freyberg-Community-School/265099770176987,,,1897,,,,,,,,,,,,,,,,
,Timatanga Community School,New Zealand,,9,Mamari Road,,Whenuapai,0618,http://www.davewilcox.co.nz/nz-schools/showschool/?school=4146,school@timatanga.net.nz,006494166000,,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/28+Mamari+Rd/@-36.7987322,174.6134261,17z/data=!3m1!4b1!4m2!3m1!1s0x6d0d3fd0f321896b:0xebb91f0290fe0c55",
,Nyskolen,Kingdom of Norway,Yes,7A,Østerdalsgata,,Oslo,0658,http://www.nyskolen.no,,004721899826,,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/%C3%98sterdalsgata+7/@59.9108349,10.7890551,17z/data=!3m1!4b1!4m2!3m1!1s0x46416e55dae91823:0x9cdd6ed908f287be",
,Moscow International Film School,Russian Federation,Yes,44,Shabolovka Street,,Moscow,115419,http://www.mifs.ru,kino@prof.educom.ru,0074959544002,https://www.facebook.com/filmcollege40,,,1991,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/ulitsa+Shabolovka/@55.719406,37.61108,17z/data=!3m1!4b1!4m2!3m1!1s0x46b54b12d65c884b:0x8dc6207b1d8f9f2d",
,Park School,United Kingdom of Great Britain and Northern Ireland,Yes,,Park Road,Dartington Hall,"Totnes, Devon",TQ9 6EQ,http://www.parkschoolonline.com,,00441803864588,,,,1989,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Park+Rd/@50.4545248,-3.6910101,17z/data=!3m1!4b1!4m2!3m1!1s0x486d1ccc9e69fa01:0xfccd00ed17fde30f",
,Radicle Roots Community Schoolhouse,United States of America,Yes,3310,Red River Street,,"Austin, TX",78705,http://www.radicleroots.org,info@schoolhouseruckus.org,0015125296378,https://www.facebook.com/9thStreetSchoolhouse,,,,,,,,,,,,,,,,,,,
,Alpine Valley School,United States of America,Yes,4501,Parfet Street,,Wheat Ridge,80033,http://www.alpinevalleyschool.com,info@alpinevalleyschool.com,0013032710525,https://www.facebook.com/AlpineValleySchool,https://twitter.com/AlpineValleySch,,1997,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/4501+Parfet+St/@39.7800881,-105.1212763,17z/data=!3m1!4b1!4m2!3m1!1s0x876b8674b8874c0f:0xc3d76797433a41c0",
,Arthur Morgan School,United States of America,Yes,60,AMS Circle,,"Burnsville, NC",28714,http://www.arthurmorganschool.org,admissions@arthurmorganschool.org,0018286754262,https://www.facebook.com/ArthurMorganSchool,https://twitter.com/ArthurMorganSch,,1962,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/60+Ams+Cir/@35.82101,-82.1862249,17z/data=!3m1!4b1!4m2!3m1!1s0x8850a86eed699873:0x418303e0357b3967",
,Arts & Ideas Sudbury School,United States of America,Yes,5801,Harford Road,,"Baltimore, MD",21214,http://www.aisudbury.com,aisudburyschool@gmail.com,0014104260001,https://www.facebook.com/pages/Arts-Ideas-Sudbury-School/372859716072,,,2008,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/1700+Old+North+Point+Rd/@39.2884983,-76.5060494,17z/data=!3m1!4b1!4m2!3m1!1s0x89c806d90fe5df99:0x1c93b7688a2d4640",
,Worcester Think Tank,United States of America,,36,Harlow Street,,"Worcester, MA", 01605,http://www.worcesterthinktank.com,,0015087578265,https://www.facebook.com/pages/Worcester-Area-Think-Tank/222828114430813,https://twitter.com/ThinkTankWorc,,,,,,,,,,,,,,,,,,
,Brooklyn Free School,United States of America,Yes,372,Clinton Avenue,,"Brooklyn, NY",11238,http://www.brooklynfreeschool.org,contact@brooklynfreeschool.org,0017184992707,https://www.facebook.com/brooklynfreeschool,https://twitter.com/bklynfreeschool,,1983,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/72+Clinton+Ave/@40.6955317,-73.9693175,17z/data=!3m1!4b1!4m2!3m1!1s0x89c25bc79003e3a3:0xc59c4d248bfec004",
,The Circle School,United States of America,Yes,210,Oakleigh Avenue,,"Harrisburg, PA",17111,http://circleschool.org,hello@circleschool.org,0017175646700,https://www.facebook.com/thecircleschool,https://twitter.com/circleschool,,1984,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/210+Oakleigh+Ave/@40.26281,-76.819035,17z/data=!3m1!4b1!4m2!3m1!1s0x89c8bf675c686791:0xf11834fc725e71e2",
,The Clearwater School,United States of America,Yes,1510,196th Street Southeast,,"Bothell, WA",98012,http://clearwaterschool.com,info@clearwaterschool.com,0014254892050,https://www.facebook.com/ClearwaterSchool,https://twitter.com/clearwaterskool,,1996,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/1510+196th+St+SE/@47.8199363,-122.2116452,17z/data=!3m1!4b1!4m2!3m1!1s0x54900f5d8fc0332d:0x21ce3fc45c1032ca",
,Wayfinder Schools,United States of America,Yes,79,Washington Street,,"Camden, ME",04843,http://wayfinderschools.org,dorothyf@wayfinderschools.org,0012072363000,https://www.facebook.com/wayfinderschools,,,1973,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/79+Washington+St/@44.2137723,-69.0728702,17z/data=!3m1!4b1!4m2!3m1!1s0x4cadd774324b06f3:0x8b65bd463c7172aa",
,The Delta Program,United States of America,,154,West Nittany Avenue,,"State College, PA",16801,http://www.scasd.org,jmd16@scasd.org,0018142311000,,,,1974,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/154+W+Nittany+Ave/@40.7909289,-77.8581785,17z/data=!3m1!4b1!4m2!3m1!1s0x89cea8a2f2c77d13:0xebc3d93935d10efb",
,Eagle Rock School,United States of America,Yes,2750,Notaiah Road,,"Estes Park, CO",80517,http://www.eaglerockschool.org,info@eaglerockschool.org,0019705860600,https://www.facebook.com/EagleRockSchool,https://twitter.com/EagleRockSchool,,1993,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/2750+Notaiah+Rd/@40.40092,-105.465902,17z/data=!3m1!4b1!4m2!3m1!1s0x8769689b51b719c3:0x23c23c2f3354ff1a",
,Eugene Sudbury School,United States of America,,2370,Parliament Street,,"Eugene, OR",97405,http://www.eugenesudburyschool.org,,0015416835110,https://www.facebook.com/EugeneSudburySchool,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/2370+Parliament+St/@44.0340856,-123.1596574,17z/data=!3m1!4b1!4m2!3m1!1s0x54c11ebaad93c87b:0x1c62de8ddeadf3b6",
,Fairhaven School,United States of America,Yes,17900,Queen Anne Road,,"Town of Upper Marlboro, MD",20774,http://www.fairhavenschool.com,staff@fairhavenschool.com,0013012498060,https://www.facebook.com/FairhavenSchool,https://twitter.com/fairhavenschool,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/17900+Queen+Anne+Rd/@38.892036,-76.693018,17z/data=!3m1!4b1!4m2!3m1!1s0x89b7ecd408e2b559:0xccab0d4fa05e59a3",
,The Farm School – Solar Campus,United States of America,Yes,151,Schoolhouse Road,,"Summertown, TN",38483,http://thefarmschool.tv,thefarmschool@gmail.com,0019319642325,https://www.facebook.com/solarcampus,,,,,,,,,,,,,,,,,,,
,Gaia Democratic School,United States of America,Yes,900,Mount Curve Avenue,,"Minneapolis, MN",55403,http://www.gaiademocratic.org,school@gaiademocratic.org,0016128230154,https://www.facebook.com/GaiaDemocratic,https://twitter.com/GaiaDemSchool,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/3754+Pleasant+Ave/@44.934405,-93.2834455,17z/data=!3m1!4b1!4m2!3m1!1s0x87f62795ffce78db:0xe78cda548cf66cdd",
,Global Village School,United States of America,Yes,,,,"Ojai, CA",93024,http://www.globalvillageschool.org,info@globalvillageschool.org,0018056469792,https://www.facebook.com/globalvillageschool,https://twitter.com/GVillage_School,,1999,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/416+Bryant+Cir/@34.4425327,-119.2395529,17z/data=!3m1!4b1!4m2!3m1!1s0x80e9a549125c74b9:0x91dabccb636ef80c",
,Grassroots School,United States of America,Yes,2458,Grassroots Way,,"Tallahassee, FL",32311,http://www.grassrootsschool.org,grassrootsschool@gmail.com,0018506563629,https://www.facebook.com/GrassrootsSchoolTallahassee,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/2458+Grassroots+Way/@30.4146711,-84.189334,17z/data=!3m1!4b1!4m2!3m1!1s0x88ec5e0911f826bd:0xa205e4a6cfef6eec",
,Great Oak School,United States of America,Yes,715,Carrell Street,,"Tomball, TX",77375,http://www.greatoakschool.org,greatoakinfo@gmail.com,0012815167296,https://www.facebook.com/pages/Great-Oak-School/112222345831,,,2009,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Great+Oak+School/@30.104415,-95.608628,17z/data=!3m1!4b1!4m2!3m1!1s0x86472c4bb7826697:0x7fad52956c08b88",
,Greenbriar Community School,United States of America,,1411,Old Sayers Road,,"Bastrop, TX",78602,http://greenbriarschool.org,thegreenbriarschool@gmail.com,0015122812661,https://www.facebook.com/groups/greenbriarschool,,,1969,,,,,,,,,,,,,,,,
,Hanover High School,United States of America,Yes,41,Lebanon  Street,,"Hanover, NH",03755,http://hhs.hanovernorwichschools.org,justin.campbell@hanovernorwichschools.org,0016036433431,,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/41+Lebanon+St/@43.6992028,-72.2831701,17z/data=!3m1!4b1!4m2!3m1!1s0x4cb4c9e12188caef:0x7ded6044a624a70f",
,Harmony School,United States of America,Yes,909,East Second Street,,"Bloomington, IN",47401,http://www.harmonyschool.org,officemanager@harmonyschool.org,0018123348349,https://www.facebook.com/pages/Harmony-School/15919203118,https://twitter.com/School_Harmony,,1974,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/909+E+2nd+St/@39.161649,-86.521438,17z/data=!3m1!4b1!4m2!3m1!1s0x886c66eb17329ef9:0xf7e1c36c7b970fc7",
,Arlington Public Schools,United States of America,Yes,1426,North Quincy Street,,"Arlington, VA",22207,http://www.apsva.us,patrick.murphy@apsva.us,0017032286000,https://www.facebook.com/ArlingtonPublicSchools,https://twitter.com/APSVirginia,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/H-B+Woodlawn+Secondary+Program/@38.900216,-77.111827,17z/data=!3m1!4b1!4m2!3m1!1s0x89b7b5d19b58dea3:0x6aa4297a7271a357",
,Highland Free School,United States of America,Yes,510,South Highland Avenue,,"Tucson, AZ",85719,http://highlandfreeschool.org/,,0015206230104,https://www.facebook.com/pages/Highland-Free-School/200560426642239,,,1970,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/510+S+Highland+Ave/@32.2155779,-110.9518165,17z/data=!3m1!4b1!4m2!3m1!1s0x86d670f7f580a70f:0xe5147169cf99e958",
,Horizons School,United States of America,,1900,DeKalb Avenue Northeast,,"Atlanta, GA",30307,http://horizonsschool.com,,0014043782219,https://www.facebook.com/HorizonsSchool,,,1978,,110,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/1900+DeKalb+Ave+NE/@33.7611459,-84.325014,17z/data=!3m1!4b1!4m2!3m1!1s0x88f506cdd5f3e65f:0x2f72a1d69c486639",
,Hudson Valley Sudbury School,United States of America,Yes,84,Zena Road,,"Kingston, NY",12401,http://www.hudsonvalleyschool.org,office@sudburyschool.com,0018456791002,https://www.facebook.com/HudsonValleySudburySchool,,,1968,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/84+Zena+Rd/@41.9936167,-74.0872901,17z/data=!3m1!4b1!4m2!3m1!1s0x89dd068fb0dbbebf:0x2a64fc08e8269d7d",
,Jefferson County Open School,United States of America,Yes,7655,West 10th Avenue,,"Lakewood, CO",80214,http://www.jeffcoopen.org,info@jeffcoopen.org,0013039827045,https://www.facebook.com/JEFFERSONCOUNTYOPENSCHOOL,,,1970,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/search/7655+W.+10th+Ave%C2%A0+Lakewood,+CO+80214/@41.9936167,-74.0872901,17z",
,Jersey Shore Free School,United States of America,Yes,36,Birch Avenue,,"Little Silver, NJ",07739,http://www.jerseyshorefreeschool.org,jerseyshorefreeschool@yahoo.com,0017328420238,https://www.facebook.com/pages/Jersey-Shore-Free-School/42840932490,https://twitter.com/JSFSchool,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/36+Birch+Ave/@40.329012,-74.0441249,17z/data=!3m1!4b1!4m2!3m1!1s0x89c2301d0e640211:0xe34e865993fefbf4",
,Kids by Nature,United States of America,,807,West Wyoming Street,,"Kalispell, MT",59901,http://kbnkids.com,harmony@kbnkids.com,0014062573358,https://www.facebook.com/pages/Kids-by-Nature/114583378572858,,,,,,,,,,,,,,,,,,"https://www.google.com/maps/place/Kids+by+Nature/@48.225244,-114.320984,13z/data=!4m2!3m1!1s0x0:0xf88f843ab429116e?hl=en",
,The Leeway Sudbury School,United States of America,Yes,9406,Alto Drive,,"La Mesa, CA",91941,http://leewaysudburyschool.org,info@leewaysudburyschool.org,0016199004436,https://www.facebook.com/LeewaySudburySchool,,,2012,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/4370+Cherokee+Ave/@32.7565838,-117.1149353,17z/data=!4m2!3m1!1s0x80d9545aabedc0f1:0xa1760a11b0b3abbe",
,Lehman Alternative Community School,United States of America,Yes,111,Chestnut Street,,"Ithaca, NY",14850,http://www.ithacacityschools.org/index.cfm/page/lacs.htm,,0016072742183,,,,1974,,260,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/400+Lake+St/@42.4593909,-76.498458,17z/data=!3m1!4b1!4m2!3m1!1s0x89d0822db77cc00b:0xdc8dcdf84bdfa48f",
,The Little Lake Learning Community,United States of America,Yes,3257,Lohr Road,,"Ann Arbor, MI",48103,http://littlelakeschool.org,littlelakefs@gmail.com,0017343234522,https://www.facebook.com/littlelakelearningcommunity,,,2010,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/3257+Lohr+Rd/@42.4593909,-76.498458,17z/data=!4m2!3m1!1s0x883cafe14977784d:0x52518b74a731d898",
,Little River Community School,United States of America,,1227,County Route 25,,"Canton, NY",13617,http://www.littleriverschool.org,steve@littleriverschool.org,0013153799474,,,,,,,,,,,,,,,,,,,,
,Marietta Johnson School of Organic Education,United States of America,,8,Marietta Drive,,"Fairhope, AL",36532,http://www.fairhopeorganicschool.com/,marietta.school@mchsi.com,0012519289347,https://www.facebook.com/OrganicSchool,,,1894,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/8+Marietta+Dr/@30.510022,-87.900941,17z/data=!3m1!4b1!4m2!3m1!1s0x889a3f7d90b3b79f:0x181fa1aac995e64c",
,"The Met, The Metropolitan Regional Career and Technical Center",United States of America,Yes,325,Public Street,,"Providence, RI",02905,http://metcenter.org,,0014017522600,https://www.facebook.com/MetSchool,https://twitter.com/@metschool,,1993,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/325+Public+St/@41.8069463,-71.4105236,17z/data=!3m1!4b1!4m2!3m1!1s0x89e445668d75f2d5:0xb61008f94411798c",
,Mission Hill K-8 School,United States of America,Yes,20,Child Street,Jamaica Plain,"Boston, MA",02130,http://www.missionhillschool.org,info@missionhillschool.org,0016176356384,https://www.facebook.com/MissionHillSchool,,,1997,,15,235,,,,,,,,,,,,"https://www.google.com.bd/maps/place/20+Child+St/@42.3076921,-71.1147017,17z/data=!3m1!4b1!4m2!3m1!1s0x89e379697a5bb9e7:0x5c2a895cdbc40cb1",
,ALC Mosaic,United States of America,Yes,401,East Arrowood Road,,"Charlotte, NC",28217,http://alcmosaic.org,,0017047099668,https://www.facebook.com/alcmosaic,https://twitter.com/alcmosaic,,1968,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/401+E+Arrowood+Rd/@35.137113,-80.887663,17z/data=!3m1!4b1!4m2!3m1!1s0x88569ea8786ad6c9:0x572f546ed6832d0d",
,Mountain Laurel Sudbury School,United States of America,Yes,147,West Main Street,,"New Britain, CT",06052,http://www.mountainlaurelsudbury.org,mountainlaurelsudbury@gmail.com,0018608284077,https://www.facebook.com/MountainLaurelSudbury,https://twitter.com/@sudburyct,,2002,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/147+W+Main+St/@41.6670455,-72.7859985,17z/data=!3m1!4b1!4m2!3m1!1s0x89e7b3c93067abd1:0xc9c2df662ac5a92f",
,The New School of Northern Virginia,United States of America,Yes,9431,Silver King Court,,"City of Fairfax, VA",22031,http://www.newschoolva.com,nsnvawebsite@gmail.com,0017036913040,https://www.facebook.com/NSNVA,https://twitter.com/NewSchoolVA,,1989,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/9431+Silver+King+Ct/@38.858752,-77.2696409,17z/data=!3m1!4b1!4m2!3m1!1s0x89b64c118c026521:0x41410636f28dc48f",
,The New School,United States of America,Yes,38,York Street,,"Kennebunk, ME",04043,http://www.tnsk.org,thenewschool@tnsk.org,0012079853745,,,,1970,,40,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/38+York+St/@43.3811877,-70.5464434,17z/data=!3m1!4b1!4m2!3m1!1s0x4cb2adc54285db0b:0xc0db6640c2bf8744",
,The New School,United States of America,,812,Elkton Road,,"Newark, DE",19715,http://www.thenewschool.com,info@thenewschool.com,0013024569838,,,,1996,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/812+Elkton+Rd/@39.671342,-75.7702319,17z/data=!3m1!4b1!4m2!3m1!1s0x89c7a97d1e9ee1f1:0x1ce367fc8c89bea6",
,The Patchwork School,United States of America,Yes,1428,Main Street,,"City of Louisville, CO",80027,http://www.thepatchworkschool.com,info@thepatchworkschool.com,0017202716729,https://www.facebook.com/thepatchworkschool,https://twitter.com/patchworkschool,,,,75,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/1428+Main+St/@39.9842017,-105.1321622,17z/data=!3m1!4b1!4m2!3m1!1s0x876bf366c9e03947:0xc3e4cc62c43a395",
,Play Mountain Place,United States of America,,6063,Hargis Street,,"Los Angeles, CA",90034,http://www.playmountain.org,info@playmountain.org,0013238704381,https://www.facebook.com/PlayMountainPlace,,,,,,,,,,,,,,,,,,,
,The Philadelphia Free School,United States of America,Yes,2001,Christian Street,,"Philadelphia, PA",19146,http://www.phillyfreeschool.org,learn@phillyfreeschool.org,0012152189586,https://www.facebook.com/phillyfreeschool,https://twitter.com/kidsruleschool,,2011,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/2001+Christian+St/@39.9852601,-105.1345494,18z/data=!4m2!3m1!1s0x89c6c63fc34e7081:0x5de3a38a0f919537",
,Puget Sound Community School,United States of America,Yes,660,South Dearborn Street,,"Seattle, WA",98134,http://pscs.org,pscs@pscs.org,0012063244350,https://www.facebook.com/PSCSfans,https://twitter.com/PSCSFans,,1994,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/660+S+Dearborn+St/@47.596252,-122.324224,17z/data=!3m1!4b1!4m2!3m1!1s0x54906abd0e7426a5:0x320473e0abf9affa",
,Pono School,United States of America,Yes,2002,5th Avenue,,"New York, NY",10035,http://pono.nyc,info@ponolearning.org,0016464908517,https://www.facebook.com/pages/Pono/122379027832662,https://twitter.com/pononyc,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/2002+5th+Ave/@40.805911,-73.9428761,17z/data=!3m1!4b1!4m2!3m1!1s0x89c2f60c63ed3d49:0xace2e25e181dcfa0",
,Raw Learning,United States of America,Yes,101,VSDB Drive,Suite 5,"Staunton, VA",24401,http://www.rawlearning.org,gleamer@rawlearning.org,0015402923002,https://www.facebook.com/RawLearning,,,2008,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/2807+N+Augusta+St/@38.1699238,-79.0500477,17z/data=!3m1!4b1!4m2!3m1!1s0x89b4a04506835e69:0xeee2e53a734e53ca",
,The Raven Freedom School,United States of America,No,4,King Street,,"Worcester, MA",01610,www.ravenfreedomschool.org,,0015085611164,,,,2008,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/4+King+St/@42.255718,-71.813402,17z/data=!3m1!4b1!4m2!3m1!1s0x89e40686c334d421:0xcef7c73c108b12cd",
,The Real School,United States of America,,2805,Wichita Street,,"Houston, TX",77004,http://therealschoolhouston.org,unschool@therealschoolhouston.org,0017135230066,,,,2006,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/2805+Wichita+St/@29.719926,-95.3710119,17z/data=!3m1!4b1!4m2!3m1!1s0x8640bfa2306fd267:0xa3a8931a2b9a078",
,River Rock School,United States of America,Yes,46,Barre Street,,"Montpelier, VT",05602,http://riverrockschool.org,riverrockschool@comcast.net,0018022234700,https://www.facebook.com/pages/River-Rock-School/123493389042,https://twitter.com/RiverRockSchool,,1992,,22,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/46+Barre+St/@44.257576,-72.574716,17z/data=!3m1!4b1!4m2!3m1!1s0x4cb5a7f681d958c3:0xa488c4a82a6536ca",
,River School,United States of America,,137,High Street,,"Belfast, ME",04915,http://www.riverschoolbelfast.org,riverschoolbelfast@yahoo.com,0012073221467,https://www.facebook.com/River-School-Belfast-192693927413266,,,2007,,,,,,,,,,,,,,,,
,"
SAIL High School",United States of America,,2006,Jackson Bluff Road,,"Tallahassee, FL",32304,http://www.sail.leon.k12.fl.us,hansenc@leonschools.net,0018504882468,,https://twitter.com/SAILPirates,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/2006+Jackson+Bluff+Rd/@30.435486,-84.316963,17z/data=!3m1!4b1!4m2!3m1!1s0x88ecf4e385959641:0x52e80af7ae9e591f",
,School Around Us,United States of America,Yes,281,Log Cabin Road,,"Arundel, ME",04046,http://www.schoolaroundus.org,info@schoolaroundus.org,0012079673143,https://www.facebook.com/schoolaroundus,,,1970,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/81+Log+Cabin+Rd/@43.3924067,-70.4826353,17z/data=!3m1!4b1!4m2!3m1!1s0x4cb2aeb0909a65f1:0x1c2bc248be3509c4",
,Brookline High School,United States of America,Yes,115,Greenough Street,,"Brookline, MA",02445,http://bhs.brookline.k12.ma.us,bhsinfo@brookline.k12.ma.us,0016177135000,,,,,,,,,,,,,,,,,,,,
,School-Within-a-School,United States of America,Yes,4025,East Northern Lights Boulevard,,"Anchorage, AK",99508,http://www.asdk12.org/staff/snyder_gary/pages,,0019077422172,,,,1977,,200,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/4025+E+Northern+Lights+Blvd/@61.2005976,-149.8043601,17z/data=!3m1!4b1!4m2!3m1!1s0x56c896f825c95b3b:0x190ecad1cc53b69b",
,Sego Lily School,United States of America,Yes,447,West 4800 South,,"Murray, UT",84123,www.segolilyschool.org,info@segolilyschool.org,0018012749555,https://www.facebook.com/Sego-Lily-School-194754680557291,,,2008,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/1533+E+Murray+Holladay+Rd/@40.6672981,-111.8476514,17z/data=!3m1!4b1!4m2!3m1!1s0x875261f8523a39bf:0x1ba3c27ccf3b246f",
,Spring Valley School,United States of America,Yes,2109,Nebraska Avenue,,"Palm Harbor, FL",34683,http://www.springvalleyschool.com,info@springvalleyschool.com​,0017277811234,https://www.facebook.com/Spring-Valley-School-218849954808038,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/2109+Nebraska+Ave/@28.079497,-82.746772,17z/data=!3m1!4b1!4m2!3m1!1s0x88c2f297479f478d:0x1ecd45250e39bfc5",
,Stellar Secondary School,United States of America,Yes,2508,Blueberry Road  ,,"Anchorage, AK",99503,http://www.stellerschool712.org,nesheims@gci.net,0019077424950,,,,,,,,,,,,,,,,,,,,
,Stone Soup Worcester,United States of America,Yes,4,King Street,,"Worcester, MA",01610,http://www.stonesoupworcester.org,stonesoupworcester@gmail.com,0015084434974,https://www.facebook.com/stonesoupworcester,,,,,,,,,,,,,,,,,,,
,Sudbury School Of Atlanta,United States of America,Yes,3260,Covington Highway,,"Decatur, GA",30032,http://www.sudburyschoolofatlanta.org,info@sudburyschoolofatlanta.org,0014045008680,https://www.facebook.com/SudburySchoolOfAtlanta,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/3260+Covington+Hwy/@33.7741176,-84.2569399,17z/data=!3m1!4b1!4m2!3m1!1s0x88f5a9e82a16eafd:0x1362f6ad9cb426c0",
,Sudbury Valley School,United States of America,Yes,2,Winch Street,,"Framingham, MA",01701,http://www.sudburyvalley.org,webmailer@sudburyvalley.org,0015088773030,https://www.facebook.com/SudburyValleySchool,https://twitter.com/SVS_School,,1968,,210,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/2+Winch+St/@42.324627,-71.464355,17z/data=!3m1!4b1!4m2!3m1!1s0x89e3896814b7c401:0xdb4a01225e4c1154",
,Sunset Sudbury Learning Community,United States of America,Yes,99,Southwest 14th Street,,"Fort Lauderdale, FL",33335,http://sunsetsudbury.org,info@sunsetsudbury.org,0019544047785,https://www.facebook.com/sunsetsudbury,https://twitter.com/sunsetsudbury,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/4200+NW+66th+Ave/@26.04541,-80.221025,17z/data=!3m1!4b1!4m2!3m1!1s0x88d9a9a8aa1d2135:0xe28c9d6060926cac",
,Tallgrass Sudbury School,United States of America,Yes,82,Woodside Road,,"Riverside, IL",60546,http://www.tallgrasssudbury.org,info@tallgrasssudbury.org,0017087771037,https://www.facebook.com/tallgrasssudburyschool,https://twitter.com/TallgrassSudbur,,2008,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/82+Woodside+Rd/@41.830372,-87.8221316,17z/data=!3m1!4b1!4m2!3m1!1s0x880e35d1e27ee3e7:0x39236cd3a7630da5",
,Trillium Charter School,United States of America,Yes,5420,North Interstate Avenue,,"Portland, OR",97217,http://trilliumcharterschool.org,info@trilliumcharterschool.org,0015032853833,https://www.facebook.com/trilliumcharterschoolportlandoregon,https://twitter.com/TrilliumCharter,,2013,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/5420+N+Interstate+Ave/@45.5621981,-122.6815538,17z/data=!3m1!4b1!4m2!3m1!1s0x5495a70cbc45e7ed:0xd9d66cb5ffb7f962",
,Three Rivers Village School,United States of America,Yes,134,East Elizabeth Street,,"Pittsburgh, PA",15207 ,http://threeriversvillageschool.org,info@threeriversvillageschool.org,0014124083388,https://www.facebook.com/ThreeRiversVillageSchool,,,2012,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/4721+Stanton+Ave/@40.481118,-79.935619,17z/data=!3m1!4b1!4m2!3m1!1s0x8834f2898447e361:0x297fec6c32714d8e",
,Village Free School,United States of America,Yes,1800,SE Water Avenue,,"Portland, OR",97214,http://villagefreeschool.org,info@villagefreeschool.org,0015037883935,https://www.facebook.com/VFreeSchool,https://twitter.com/VFreeSchool,,2004,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/1800+SE+Water+Ave/@45.509709,-122.665329,17z/data=!3m1!4b1!4m2!3m1!1s0x54950a732f909b7f:0x6ff3b351fa678fe0",
